,Team,variable,value,Location
108,Sacramento Kings,Win,0.417,Away
109,Brooklyn Nets,Win,0.556,Away
110,Minnesota Timberwolves,Win,0.278,Away
111,Chicago Bulls,Win,0.444,Away
112,Memphis Grizzlies,Win,0.556,Away
113,Milwaukee Bucks,Win,0.556,Away
114,Charlotte Hornets,Win,0.417,Away
115,Detriot Pistons,Win,0.194,Away
116,Philadelphia 76ers,Win,0.556,Away
117,Cleveland Cavaliers,Win,0.25,Away
118,Los Angeles Lakers,Win,0.583,Away
119,New York Knicks,Win,0.444,Away
120,New Orleans Pelicans,Win,0.361,Away
121,Phoenix Suns,FieldGoal,49.4,Home
122,San Antonio Spurs,FieldGoal,46.3,Home
123,Denver Nuggets,FieldGoal,48.2,Home
124,Houston Rockets,FieldGoal,43.4,Home
125,LA Clippers,FieldGoal,49,Home
126,Washington Wizards,FieldGoal,48.3,Home
127,Indiana Pacers,FieldGoal,46.6,Home
128,Portland Trail Blazers,FieldGoal,44.6,Home
129,Boston Celtics,FieldGoal,47.4,Home
130,Toronto Raptors,FieldGoal,44.4,Home
131,Oklahoma City Thunder,FieldGoal,44.8,Home
132,Atlanta Hawks,FieldGoal,47.5,Home
133,Orlando Magic,FieldGoal,43.5,Home
134,Golden State Warriors,FieldGoal,48.5,Home
135,Dallas Mavericks,FieldGoal,46.7,Home
136,Miami Heat,FieldGoal,47.1,Home
137,Utah Jazz,FieldGoal,47.2,Home
138,Sacramento Kings,FieldGoal,49.5,Home
139,Brooklyn Nets,FieldGoal,49.5,Home
140,Minnesota Timberwolves,FieldGoal,44,Home
141,Chicago Bulls,FieldGoal,46.9,Home
142,Memphis Grizzlies,FieldGoal,45.1,Home
143,Milwaukee Bucks,FieldGoal,49.1,Home
